Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,Low G Man,,,,,,,,,,,,,Action
NES,Lunar Pool,,,,,,,,,,,,,Sport
NES,Maniac Mansion,,,,,,,,,,,,,Adventure
NES,Marble Madness,,,,,,,,,,,,,Puzzle
NES,"Mario & Yoshi 
(US: Yoshi)",,,,,,,,,,,,,Puzzle
NES,Mega Man 4,,,,,,,,,,,,,Action
NES,Mighty Bomb Jack,,,,,,,,,,,,,Action
NES,Mighty Final Fight,,,,,,,,,,,,,Prügelspiel
NES,Miracle Piano,,,,,,,,,,,,,Sonstiges
NES,Mission:Impossible,,,,,,,,,,,,,Action
NES,Monster in my Pocket,,,,,,,,,,,,,Action
NES,Mr. Gimmick,,,,,,,,,,,,,Jump & Run
NES,NES Open Tournament Golf,,,,,,,,,,,,,Sport
NES,"Nigel Mansell's 
World Championship",,,,,,,,,,,,,Action
NES,Ninja Gaiden,,,,,,,,,,,,,Action
NES,"Ninja Gaiden 2
The Dark Sword of Chaos",,,,,,,,,,,,,Action
NES,Nintendo World Cup,,,,,,,,,,,,,Sport
NES,"North & South 
(US: North and South)",,,,,,,,,,,,,Action
NES,Operation Wolf,,,,,,,,,,,,,Shooter
NES,Pac-Man,,,,,,,,,,,,,Action
NES,Panic Restaurant,,,,,,,,,,,,,Jump & Run
NES,Paperboy,,,,,,,,,,,,,Action
NES,Paperboy 2,,,,,,,,,,,,,Action
NES,Parodius,,,,,,,,,,,,,Shooter
NES,"Phantom Air Mission 
(US: Flight of the Intruder)",,,,,,,,,,,,,Shooter
NES,Popeye,,,,,,,,,,,,,Action
NES,Power Blade,,,,,,,,,,,,,Action
NES,Pro Wrestling,,,,,,,,,,,,,Sport
NES,"Probotector II Return of the Evil Forces 
(US: Super C)
",,,,,,,,,,,,,Action
